point score,avg_overall,avg_potential,label
526.0,0.36363636363635976,0.4848484848484844,1
-526.0,-0.36363636363635976,-0.4848484848484844,0
3.0,-1.787878787878796,-1.242424242424235,1
-3.0,1.787878787878796,1.242424242424235,0
213.0,-0.7272727272727337,-0.8787878787878753,1
-213.0,0.7272727272727337,0.8787878787878753,0
220.0,-0.7575757575757649,-0.09090909090909349,1
-220.0,0.7575757575757649,0.09090909090909349,0
220.0,10.888528138528137,10.330086580086586,1
-220.0,-10.888528138528137,-10.330086580086586,0
254.0,0.7878787878787818,2.0606060606060623,1
-254.0,-0.7878787878787818,-2.0606060606060623,0
250.0,-0.030303030303031164,1.1515151515151558,1
-250.0,0.030303030303031164,-1.1515151515151558,0
383.0,0.4242424242424221,2.3030303030303116,1
-383.0,-0.4242424242424221,-2.3030303030303116,0
291.0,3.133919843597255,4.603128054740964,1
-291.0,-3.133919843597255,-4.603128054740964,0
792.0,3.133919843597255,4.603128054740964,1
-792.0,-3.133919843597255,-4.603128054740964,0
287.0,4.355276907001041,6.1170323928944725,1
-287.0,-4.355276907001041,-6.1170323928944725,0
377.0,5.617790811339191,6.699902248289348,1
-377.0,-5.617790811339191,-6.699902248289348,0
310.0,6.969696969696969,8.363636363636374,1
-310.0,-6.969696969696969,-8.363636363636374,0
389.0,3.8787878787878753,5.333333333333343,1
-389.0,-3.8787878787878753,-5.333333333333343,0
355.0,4.357575757575759,6.218181818181819,1
-355.0,-4.357575757575759,-6.218181818181819,0
328.0,4.0,6.393939393939405,1
-328.0,-4.0,-6.393939393939405,0
364.0,2.861742424242422,3.557765151515156,1
-364.0,-2.861742424242422,-3.557765151515156,0
444.0,8.531385281385283,10.080086580086586,1
-444.0,-8.531385281385283,-10.080086580086586,0
361.0,3.955492424242422,4.432765151515156,1
-361.0,-3.955492424242422,-4.432765151515156,0
487.0,4.767992424242422,6.620265151515156,1
-487.0,-4.767992424242422,-6.620265151515156,0
468.0,4.515151515151516,3.2424242424242493,1
-468.0,-4.515151515151516,-3.2424242424242493,0
417.0,7.157575757575756,7.9181818181818215,1
-417.0,-7.157575757575756,-7.9181818181818215,0
503.0,2.1984359726295253,4.216031280547412,1
-503.0,-2.1984359726295253,-4.216031280547412,0
457.0,3.7456709956709915,4.758658008658017,1
-457.0,-3.7456709956709915,-4.758658008658017,0
446.0,7.575757575757578,8.666666666666671,1
-446.0,-7.575757575757578,-8.666666666666671,0
526.0,6.611742424242422,3.026515151515156,1
-526.0,-6.611742424242422,-3.026515151515156,0
501.0,6.181818181818173,6.303030303030312,1
-501.0,-6.181818181818173,-6.303030303030312,0
600.0,7.0909090909090935,7.984848484848484,1
-600.0,-7.0909090909090935,-7.984848484848484,0
631.0,4.024242424242416,5.651515151515156,1
-631.0,-4.024242424242416,-5.651515151515156,0
-523.0,-2.151515151515156,-1.7272727272727195,0
523.0,2.151515151515156,1.7272727272727195,1
-313.0,-1.0909090909090935,-1.3636363636363598,0
313.0,1.0909090909090935,1.3636363636363598,1
-306.0,-1.1212121212121247,-0.5757575757575779,0
306.0,1.1212121212121247,0.5757575757575779,1
-306.0,10.524891774891778,9.845238095238102,0
306.0,-10.524891774891778,-9.845238095238102,1
-272.0,0.4242424242424221,1.575757575757578,0
272.0,-0.4242424242424221,-1.575757575757578,1
-276.0,-0.3939393939393909,0.6666666666666714,0
276.0,0.3939393939393909,-0.6666666666666714,1
-143.0,0.06060606060606233,1.8181818181818272,0
143.0,-0.06060606060606233,-1.8181818181818272,1
-235.0,2.770283479960895,4.118279569892479,0
235.0,-2.770283479960895,-4.118279569892479,1
266.0,2.770283479960895,4.118279569892479,1
-266.0,-2.770283479960895,-4.118279569892479,0
-239.0,3.9916405433646815,5.632183908045988,0
239.0,-3.9916405433646815,-5.632183908045988,1
-149.0,5.254154447702831,6.215053763440864,0
149.0,-5.254154447702831,-6.215053763440864,1
-216.0,6.606060606060609,7.8787878787878896,0
216.0,-6.606060606060609,-7.8787878787878896,1
-137.0,3.5151515151515156,4.848484848484858,0
137.0,-3.5151515151515156,-4.848484848484858,1
-171.0,3.9939393939393995,5.733333333333334,0
171.0,-3.9939393939393995,-5.733333333333334,1
-198.0,3.6363636363636402,5.909090909090921,0
198.0,-3.6363636363636402,-5.909090909090921,1
